"","","ふゆう","ちょすい","ちくでん","そうしょく","でんきエンジン","かんそうはだ","ひらいしん","よびみず","あついしぼう","たいねつ","もらいび","きよめのしお","こんがりボディ","どしょく","","防御とくせい"
"ノーマル","ノ","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"ほのお","炎","1","1","1","1","1","1.25","1","1","0.5","0.5","0","1","0","1","",""
"みず","水","1","0","1","1","1","0","1","0","1","1","1","1","1","1","",""
"でんき","電","1","1","0","1","0","1","0","1","1","1","1","1","1","1","",""
"くさ","草","1","1","1","0","1","1","1","1","1","1","1","1","1","1","",""
"こおり","氷","1","1","1","1","1","1","1","1","0.5","1","1","1","1","1","",""
"かくとう","格","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"どく","毒","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"じめん","地","0","1","1","1","1","1","1","1","1","1","1","1","1","0","",""
"ひこう","飛","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"エスパー","超","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"むし","虫","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"いわ","岩","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"ゴースト","霊","1","1","1","1","1","1","1","1","1","1","1","0.5","1","1","",""
"ドラゴン","竜","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"あく","悪","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"はがね","鋼","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"フェアリー","妖","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"","-","","","","","","","","","","","","","","","",""
"攻撃技","","","","","","","","","","","","","","","","",""
